epoch,step,train_loss_epoch,train_loss_step,val_loss
0,9,,,0.35670286417007446
0,9,0.3407666087150574,,
1,19,,,0.3472415804862976
1,19,0.31416764855384827,,
2,29,,,0.3468397259712219
2,29,0.3069015145301819,,
3,39,,,0.34746628999710083
3,39,0.30598121881484985,,
4,49,,0.23528893291950226,
4,49,,,0.34677502512931824
4,49,0.3052639663219452,,
5,59,,,0.34571221470832825
5,59,0.304588258266449,,
6,69,,,0.34498876333236694
6,69,0.3036819398403168,,
7,79,,,0.34427908062934875
7,79,0.30278918147087097,,
8,89,,,0.34348273277282715
8,89,0.3019108474254608,,
9,99,,0.38368237018585205,
9,99,,,0.3429151177406311
9,99,0.3011162281036377,,
