epoch,step,train_loss_epoch,val_loss
0,0,,0.459628164768219
0,0,0.48598867654800415,
1,1,,0.4406118094921112
1,1,0.46933335065841675,
2,2,,0.4227588176727295
2,2,0.4538380205631256,
3,3,,0.4060596823692322
3,3,0.4394928216934204,
4,4,,0.3904959559440613
4,4,0.42627912759780884,
5,5,,0.3760412633419037
5,5,0.4141697585582733,
6,6,,0.3626626133918762
6,6,0.4031299352645874,
7,7,,0.35032179951667786
7,7,0.3931184411048889,
8,8,,0.3389762043952942
8,8,0.38408875465393066,
9,9,,0.3285796642303467
9,9,0.3759898543357849,
