epoch,step,train_acc_epoch,train_acc_step,train_loss_epoch,train_loss_step,val_acc,val_loss
0,49,,0.90625,,3.524834632873535,,
0,99,,0.8732638955116272,,3.384695529937744,,
0,149,,0.8923611044883728,,2.7613654136657715,,
0,199,,0.9114583134651184,,2.34077787399292,,
0,249,,0.9201388955116272,,2.102062702178955,,
0,299,,0.897569477558136,,2.4153380393981934,,
0,349,,0.9184027910232544,,2.0493011474609375,,
0,387,,,,,0.9045777916908264,2.3403096199035645
0,387,0.8944869637489319,,2.867309093475342,,,
1,399,,0.9045138955116272,,2.5209310054779053,,
1,449,,0.9184027910232544,,2.1601483821868896,,
1,499,,0.9079861044883728,,2.2234280109405518,,
1,549,,0.897569477558136,,2.135175943374634,,
1,599,,0.9322916865348816,,1.7547838687896729,,
1,649,,0.9184027910232544,,2.0449490547180176,,
1,699,,0.9045138955116272,,2.5518267154693604,,
1,749,,0.8958333134651184,,2.5506598949432373,,
1,775,,,,,0.914177417755127,2.1791930198669434
1,775,0.9087619781494141,,2.253286600112915,,,
2,799,,0.9184027910232544,,2.1699037551879883,,
2,849,,0.9045138955116272,,2.299844264984131,,
2,899,,0.9184027910232544,,2.057459592819214,,
2,949,,0.9027777910232544,,2.4658761024475098,,
2,999,,0.9340277910232544,,2.021811008453369,,
