epoch,step,train_auc_epoch,train_loss_epoch,val_auc,val_loss
0,0,,,0.2014109492301941,7.34793758392334
0,0,0.3444161117076874,7.467407703399658,,
1,1,,,0.2014109492301941,7.214870452880859
1,1,0.3440224826335907,7.336366176605225,,
2,2,,,0.2014109492301941,7.083853721618652
2,2,0.34222009778022766,7.207207679748535,,
3,3,,,0.2014109492301941,6.954968452453613
3,3,0.34227949380874634,7.080013275146484,,
4,4,,,0.2014109492301941,6.828279495239258
4,4,0.3423607051372528,6.954853057861328,,
5,5,,,0.2014109492301941,6.703837871551514
5,5,0.34610435366630554,6.831789970397949,,
6,6,,,0.2014109492301941,6.581689357757568
6,6,0.3463997542858124,6.710884094238281,,
7,7,,,0.2014109492301941,6.461871147155762
7,7,0.347025990486145,6.592187404632568,,
8,8,,,0.19226741790771484,6.344420433044434
8,8,0.34668564796447754,6.475750923156738,,
9,9,,,0.19226741790771484,6.229362964630127
9,9,0.346078485250473,6.3616180419921875,,
