epoch,step,train_loss_epoch,val_loss
0,0,,0.47933679819107056
0,0,0.4980124831199646,
1,1,,0.4594387412071228
1,1,0.479974627494812,
2,2,,0.4408610165119171
2,2,0.46329566836357117,
3,3,,0.4235777258872986
3,3,0.44795024394989014,
4,4,,0.407556414604187
4,4,0.4339037537574768,
5,5,,0.3927565813064575
5,5,0.4211125075817108,
6,6,,0.3791308104991913
6,6,0.40952450037002563,
7,7,,0.36662590503692627
7,7,0.39908063411712646,
8,8,,0.3551846742630005
8,8,0.38971662521362305,
9,9,,0.34474676847457886
9,9,0.3813643753528595,
