epoch,step,train_loss_epoch,val_loss
0,0,,1.1953105926513672
0,0,1.1818609237670898,
1,1,,1.154099464416504
1,1,1.1423925161361694,
2,2,,1.1136263608932495
2,2,1.1036245822906494,
3,3,,1.073943018913269
3,3,1.0656111240386963,
4,4,,1.035097360610962
4,4,1.0284037590026855,
5,5,,0.997134804725647
5,5,0.9920503497123718,
6,6,,0.9600993394851685
6,6,0.9565953016281128,
7,7,,0.9240319728851318
7,7,0.9220806360244751,
8,8,,0.8889709115028381
8,8,0.8885458707809448,
9,9,,0.8549506068229675
9,9,0.8560277223587036,
