epoch,step,train_loss_epoch,train_loss_step,val_loss
0,9,,,0.44758501648902893
0,9,0.5102518200874329,,
1,19,,,0.37939906120300293
1,19,0.37331777811050415,,
2,29,,,0.36317259073257446
2,29,0.32122471928596497,,
3,39,,,0.3618200421333313
3,39,0.31043022871017456,,
4,49,,0.38072144985198975,
4,49,,,0.3623555302619934
4,49,0.30636849999427795,,
5,59,,,0.36187148094177246
5,59,0.3057597875595093,,
6,69,,,0.3611978590488434
6,69,0.3049345016479492,,
7,79,,,0.3599569797515869
7,79,0.3041744530200958,,
8,89,,,0.3589246869087219
8,89,0.3031858205795288,,
9,99,,0.2884639799594879,
9,99,,,0.3580605387687683
9,99,0.3023015856742859,,
