epoch,step,train_acc_epoch,train_acc_step,train_loss_epoch,train_loss_step,val_acc,val_loss
0,4,,,,,0.25,1.4725062847137451
0,4,0.2734375,,1.4593522548675537,,,
1,9,,,,,0.24375000596046448,1.408982515335083
1,9,0.2906250059604645,,1.387815237045288,,,
2,14,,,,,0.29374998807907104,1.372167706489563
2,14,0.3187499940395355,,1.3507057428359985,,,
3,19,,,,,0.3499999940395355,1.3446898460388184
3,19,0.34687501192092896,,1.3282774686813354,,,
4,24,,,,,0.4124999940395355,1.3193750381469727
4,24,0.3984375,,1.3033422231674194,,,
5,29,,,,,0.42500001192092896,1.3029391765594482
5,29,0.4375,,1.2786604166030884,,,
6,34,,,,,0.46875,1.2782502174377441
6,34,0.4625000059604645,,1.2550359964370728,,,
7,39,,,,,0.4749999940395355,1.256281852722168
7,39,0.48124998807907104,,1.2335443496704102,,,
8,44,,,,,0.48750001192092896,1.2321559190750122
8,44,0.49687498807907104,,1.2101023197174072,,,
9,49,,0.5390625,,1.1684105396270752,,
9,49,,,,,0.5,1.2063522338867188
9,49,0.5078125,,1.1877496242523193,,,
